Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33-081,2018-03-21,CLE,H,TOR,W,1,39,11,19,.579,10,16,.625,1,3,.333,12,14,.857,1,6,7,17,1,0,0,2,35,39.9
33-083,2018-03-23,CLE,H,PHO,W,1,29,11,16,.688,10,12,.833,1,4,.250,4,6,.667,0,6,6,9,1,1,4,3,27,24.0
33-085,2018-03-25,CLE,A,BRK,W,1,38,14,19,.737,13,15,.867,1,4,.250,8,10,.800,2,8,10,8,1,0,2,3,37,35.7
33-087,2018-03-27,CLE,A,MIA,L,1,38,7,18,.389,7,14,.500,0,4,.000,4,5,.800,1,5,6,7,0,0,6,1,18,8.5
33-088,2018-03-28,CLE,A,CHO,W,1,37,14,26,.538,10,18,.556,4,8,.500,9,11,.818,2,8,10,8,1,0,4,1,41,33.6
33-090,2018-03-30,CLE,H,NOP,W,1,42,12,24,.500,12,20,.600,0,4,.000,3,3,1.000,1,8,9,11,1,0,1,0,27,25.8
33-092,2018-04-01,CLE,H,DAL,W,1,39,5,21,.238,3,18,.167,2,3,.667,4,4,1.000,3,10,13,12,0,0,2,1,16,14.4
33-094,2018-04-03,CLE,H,TOR,W,1,37,8,14,.571,5,8,.625,3,6,.500,8,11,.727,0,10,10,6,0,0,5,2,27,20.6
33-096,2018-04-05,CLE,H,WAS,W,1,39,12,20,.600,10,13,.769,2,7,.286,7,10,.700,2,7,9,14,0,0,6,2,33,29.1
33-097,2018-04-06,CLE,A,PHI,L,1,40,17,29,.586,13,21,.619,4,8,.500,6,11,.545,1,10,11,11,2,1,8,0,44,34.6
33-100,2018-04-09,CLE,A,NYK,W,1,39,7,16,.438,4,10,.400,3,6,.500,9,10,.900,0,6,6,11,1,0,4,2,26,22.9
33-102,2018-04-11,CLE,H,NYK,L,1,11,4,9,.444,4,7,.571,0,2,.000,2,3,.667,1,4,5,2,1,0,3,0,10,6.2
33-292,2018-10-18,LAL,A,POR,L,1,37,9,16,.563,9,12,.750,0,4,.000,8,9,.889,2,10,12,6,1,0,6,3,26,20.4
33-294,2018-10-20,LAL,H,HOU,L,1,39,9,22,.409,8,15,.533,1,7,.143,5,7,.714,0,5,5,5,2,1,1,0,24,18.1
33-296,2018-10-22,LAL,H,SAS,L,1,43,11,25,.440,9,17,.529,2,8,.250,8,11,.727,2,6,8,14,1,1,5,2,32,26.6
33-298,2018-10-24,LAL,A,PHO,W,1,28,7,16,.438,6,11,.545,1,5,.200,4,4,1.000,0,7,7,10,3,0,0,1,19,22.3
